Global Temperature Anomalies (deg C) AIRS v6 vs. 2007-2016
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
2002,*******,*******,*******,*******,*******,*******,*******,*******, -0.094, -0.203, -0.273, -0.243,*******,*******,*******,*******,*******, -0.190
2003,  0.035, -0.069, -0.099, -0.140, -0.164, -0.203, -0.191, -0.147, -0.091,  0.022, -0.578,  0.023, -0.134, -0.156, -0.093, -0.134, -0.181, -0.216
2004,  0.059,  0.107, -0.080, -0.173, -0.450, -0.229, -0.344, -0.326, -0.252, -0.236, -0.107, -0.140, -0.181, -0.167,  0.063, -0.234, -0.299, -0.199
2005,  0.041, -0.098, -0.009, -0.013, -0.006,  0.012, -0.025, -0.111, -0.069,  0.021, -0.022,  0.026, -0.021, -0.035, -0.066, -0.009, -0.041, -0.024
2006, -0.018,  0.217, -0.054, -0.162, -0.198, -0.003, -0.154, -0.115, -0.176, -0.137, -0.103, -0.056, -0.080, -0.073,  0.075, -0.138, -0.091, -0.139
2007,  0.154,  0.043, -0.034,  0.079, -0.066, -0.033, -0.031, -0.112, -0.228, -0.136, -0.139, -0.253, -0.063, -0.047,  0.047, -0.007, -0.059, -0.167
2008, -0.382, -0.338, -0.039, -0.177, -0.170, -0.246, -0.126, -0.231, -0.139, -0.143, -0.113, -0.065, -0.181, -0.196, -0.324, -0.129, -0.201, -0.132
2009, -0.038,  0.058, -0.099, -0.197, -0.077, -0.005,  0.058, -0.024, -0.039, -0.091, -0.001,  0.061, -0.033, -0.043, -0.015, -0.124,  0.010, -0.044
2010,  0.067,  0.195,  0.124,  0.067, -0.004, -0.034, -0.090, -0.045, -0.067, -0.080,  0.052, -0.107,  0.007,  0.021,  0.108,  0.063, -0.056, -0.032
2011, -0.129, -0.212, -0.165, -0.018, -0.103, -0.026,  0.106,  0.063, -0.110, -0.110, -0.265, -0.186, -0.096, -0.090, -0.149, -0.095,  0.048, -0.162
2012, -0.195, -0.171, -0.234, -0.025,  0.061,  0.001, -0.090, -0.030,  0.009,  0.070,  0.011, -0.134, -0.061, -0.065, -0.184, -0.066, -0.040,  0.030
2013,  0.054, -0.054, -0.022, -0.140, -0.084,  0.016, -0.155, -0.067,  0.038, -0.057,  0.034,  0.066, -0.031, -0.048, -0.045, -0.082, -0.069,  0.005
2014,  0.045, -0.153, -0.100,  0.056,  0.130, -0.004,  0.010,  0.076,  0.123,  0.087, -0.018,  0.102,  0.030,  0.026, -0.014,  0.029,  0.027,  0.064
2015,  0.097,  0.176,  0.100, -0.047,  0.035,  0.071,  0.024,  0.077,  0.145,  0.242,  0.130,  0.308,  0.113,  0.096,  0.125,  0.030,  0.058,  0.172
2016,  0.327,  0.454,  0.468,  0.402,  0.277,  0.261,  0.293,  0.292,  0.268,  0.218,  0.308,  0.208,  0.315,  0.323,  0.363,  0.382,  0.282,  0.265
2017,  0.292,  0.361,  0.378,  0.162,  0.216,  0.154,  0.214,  0.169,  0.142,  0.141,  0.078,  0.191,  0.208,  0.210,  0.287,  0.252,  0.179,  0.120
2018,  0.156,  0.155,  0.108,  0.150,  0.056,  0.100,  0.081,  0.023,  0.021,  0.209, -0.010,  0.153,  0.100,  0.103,  0.167,  0.104,  0.068,  0.073
2019,  0.228,  0.296,  0.410,  0.308,  0.247,  0.366,  0.384,  0.251,  0.325,  0.397,  0.298,  0.412,  0.327,  0.305,  0.226,  0.322,  0.334,  0.340
2020,  0.323,  0.311,  0.276,  0.326,  0.286,  0.330,  0.323,  0.292,  0.242,  0.163,  0.304,  0.080,  0.271,  0.299,  0.349,  0.296,  0.315,  0.236
2021,  0.168,  0.126,  0.076,  0.098,  0.120,  0.184,  0.229,  0.126,  0.101, -0.086, -0.097,  0.017,  0.088,  0.094,  0.125,  0.098,  0.180, -0.027
2022,  0.087,  0.052,  0.145,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,  0.052,*******,*******,*******
Global Temperature Anomalies (deg C) AIRS v7 vs. 2007-2016
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
2002,*******,*******,*******,*******,*******,*******,*******,*******,  0.130,  0.020, -0.021, -0.077,*******,*******,*******,*******,*******,  0.043
2003,  0.133, -0.023, -0.014,  0.029,  0.085,  0.020,  0.017,  0.027,  0.074,  0.186, -0.361,  0.193,  0.031,  0.008,  0.011,  0.033,  0.022, -0.034
2004,  0.126,  0.148,  0.033, -0.017, -0.307, -0.075, -0.254, -0.261, -0.100, -0.072,  0.041, -0.054, -0.066, -0.045,  0.156, -0.097, -0.197, -0.044
2005,  0.138,  0.048,  0.127,  0.114,  0.110,  0.108,  0.029, -0.052,  0.017,  0.103,  0.048,  0.081,  0.073,  0.061,  0.044,  0.117,  0.028,  0.056
2006, -0.016,  0.215,  0.012, -0.119, -0.113,  0.033, -0.115, -0.072, -0.117, -0.062, -0.040,  0.012, -0.032, -0.026,  0.093, -0.073, -0.051, -0.073
2007,  0.196,  0.087, -0.000,  0.101, -0.004, -0.011, -0.015, -0.103, -0.180, -0.103, -0.102, -0.209, -0.029, -0.010,  0.098,  0.032, -0.043, -0.128
2008, -0.423, -0.344,  0.015, -0.153, -0.169, -0.253, -0.089, -0.198, -0.146, -0.128, -0.082, -0.078, -0.171, -0.182, -0.325, -0.102, -0.180, -0.118
2009, -0.009, -0.027, -0.401, -0.200, -0.075,  0.001,  0.099, -0.011, -0.030, -0.090, -0.003,  0.019, -0.061, -0.069, -0.038, -0.225,  0.030, -0.041
2010,  0.061,  0.132,  0.150,  0.079,  0.001, -0.019, -0.128, -0.061, -0.079, -0.085,  0.048, -0.109, -0.001,  0.010,  0.071,  0.077, -0.069, -0.039
2011, -0.136, -0.158, -0.138, -0.040, -0.111, -0.027,  0.116,  0.050, -0.092, -0.117, -0.250, -0.178, -0.090, -0.084, -0.134, -0.097,  0.046, -0.153
2012, -0.236, -0.173, -0.183, -0.009,  0.088,  0.032, -0.102, -0.039, -0.014,  0.074, -0.024, -0.173, -0.063, -0.063, -0.195, -0.034, -0.036,  0.012
2013,  0.021, -0.125, -0.028, -0.144, -0.125,  0.030, -0.181, -0.091,  0.013, -0.073,  0.003,  0.048, -0.054, -0.073, -0.092, -0.099, -0.081, -0.019
2014,  0.043, -0.176, -0.055,  0.087,  0.133,  0.041,  0.029,  0.119,  0.125,  0.100, -0.028,  0.102,  0.043,  0.039, -0.029,  0.055,  0.063,  0.066
2015,  0.108,  0.222,  0.151, -0.053,  0.046,  0.030,  0.029,  0.091,  0.156,  0.256,  0.172,  0.358,  0.130,  0.109,  0.144,  0.048,  0.050,  0.194
2016,  0.375,  0.562,  0.489,  0.333,  0.216,  0.176,  0.242,  0.245,  0.247,  0.166,  0.266,  0.220,  0.295,  0.306,  0.432,  0.346,  0.221,  0.226
2017,  0.324,  0.399,  0.401,  0.120,  0.178,  0.061,  0.133,  0.094,  0.104,  0.087,  0.031,  0.175,  0.176,  0.179,  0.314,  0.233,  0.096,  0.074
2018,  0.125,  0.183,  0.142,  0.103,  0.054,  0.035,  0.031, -0.035, -0.017,  0.151, -0.057,  0.113,  0.069,  0.074,  0.161,  0.100,  0.010,  0.025
2019,  0.183,  0.245,  0.427,  0.230,  0.159,  0.237,  0.274,  0.208,  0.231,  0.319,  0.242,  0.352,  0.259,  0.239,  0.181,  0.272,  0.240,  0.264
2020,  0.325,  0.390,  0.305,  0.334,  0.280,  0.266,  0.250,  0.231,  0.255,  0.186,  0.330,  0.046,  0.266,  0.292,  0.356,  0.306,  0.249,  0.257
2021,  0.103,  0.070,  0.093,  0.078,  0.096,  0.118,  0.204,  0.128,  0.157,  0.127,  0.095,  0.192,  0.122,  0.110,  0.073,  0.089,  0.150,  0.126
2022,  0.271,  0.274,  0.374,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,  0.245,*******,*******,*******
Global Temperature Anomalies (deg C) GHCNv4/ERSSTv5 vs. 2007-2016
